Model,Horizon,Temp_MAE_C,Temp_RMSE_C,Prcp_MAE_mm,Prcp_RMSE_mm
Baseline,3,1.7614046335220337,2.4873838424682617,0.14957942068576813,0.6680799126625061
Baseline,6,3.0248265266418457,4.097803115844727,0.1745365411043167,0.7160483002662659
N-HiTS,3,1.0778065919876099,1.5461289882659912,0.11100658774375916,0.5410836338996887
N-HiTS,6,1.6573306322097778,2.2836055755615234,0.11674045026302338,0.5560887455940247
DLinear,3,1.2309640645980835,1.7365506887435913,0.21488657593727112,0.7714477777481079
DLinear,6,1.9027996063232422,2.5702555179595947,0.2523336112499237,0.7663410305976868
LSTM,3,1.0902211666107178,1.557656168937683,0.11090166866779327,0.532759428024292
LSTM,6,1.6449493169784546,2.267477035522461,0.11963403224945068,0.5518497824668884
TFT,3,1.0951985120773315,1.5725479125976562,0.11522829532623291,0.5483136177062988
TFT,6,1.6606431007385254,2.289364814758301,0.11978789418935776,0.5626659989356995
